bondlength	fci0	energy0	error0	fci1	energy1	error1	fci2	energy2	error2
1.708	-7.879105444646091	-7.8779468031081725	0.0011586415379181148	-7.771012190382284	-7.770334622776487	0.0006775676057966251	-7.752506029103228	-7.751405690756462	0.0011003383467658168
1.72	-7.878590100941308	-7.877441466147648	0.0011486347936600083	-7.7713855154424785	-7.770707274380339	0.0006782410621397617	-7.752724785661945	-7.751630231028357	0.0010945546335880962
1.732	-7.8780479466748226	-7.8769092453073295	0.0011387013674930557	-7.771740204671158	-7.7710612593721695	0.0006789452989881539	-7.752921732740077	-7.751833065861978	0.001088666878099609
1.744	-7.877480155085587	-7.8763513162100915	0.0011288388754957523	-7.772077047199492	-7.7713977888187875	0.0006792583807042618	-7.753097637536442	-7.752014968441669	0.0010826690947727258
1.756	-7.87688786432518	-7.875768816473925	0.0011190478512554947	-7.772396805704808	-7.771717347022256	0.0006794586825522586	-7.753253240648823	-7.752176447434028	0.0010767932147945913
1.768	-7.876272178675792	-7.875162856573724	0.0011093221020672672	-7.772700217323421	-7.772020653777699	0.0006795635457219618	-7.7533892569869876	-7.752318893910291	0.001070363076696168
1.78	-7.875634169720298	-7.874534494931528	0.0010996747887697111	-7.772987994515436	-7.772308411476914	0.0006795830385222246	-7.753506376637249	-7.752442313103409	0.0010640635338399207
1.792	-7.874974877466441	-7.873884792354052	0.0010900851123887279	-7.773260825884522	-7.7725814295921065	0.000679396292415646	-7.753605265681703	-7.752547592144218	0.0010576735374847601
1.804	-7.874295311427788	-7.873214743737805	0.001080567689982992	-7.773519376955451	-7.772840257355035	0.0006791196004165556	-7.753686566975468	-7.752635308676787	0.0010512582986814678
1.816	-7.873596451663223	-7.872525333679809	0.0010711179834146378	-7.773764290912055	-7.7730855746259895	0.0006787162860657503	-7.7537509008844765	-7.752706260215024	0.0010446406694528676
1.828	-7.872879249777357	-7.8718175146800515	0.0010617350973056716	-7.773996189298538	-7.7733179944532145	0.0006781948453236097	-7.753798865987013	-7.752760854310259	0.0010380116767541026
1.8399999999999999	-7.8721446298833415	-7.871092211616961	0.0010524182663802506	-7.774215672685833	-7.773538117592869	0.0006775550929640772	-7.75383103974121	-7.7527997342499395	0.0010313054912707287
1.8519999999999999	-7.871393489530031	-7.87035032148402	0.0010431680460110115	-7.774423321306082	-7.773746518770943	0.0006768025351391316	-7.753847979121345	-7.752823399714991	0.0010245794063541425
1.8639999999999999	-7.870626700594958	-7.869592716682074	0.0010339839128841177	-7.774619695656769	-7.77394366217631	0.0006760334804587487	-7.753850221224955	-7.752832488626191	0.0010177325987639207
1.876	-7.869845110144662	-7.868820243696689	0.0010248664479730607	-7.774805337076855	-7.7741303625966385	0.0006749744802165836	-7.7538382838533115	-7.752827351748004	0.0010109321053075604
1.888	-7.869049541263703	-7.868033725810619	0.0010158154530834906	-7.7749807682967	-7.774306654861178	0.0006741134355223721	-7.753812666067175	-7.752808781567203	0.0010038844999717966
1.9	-7.868240793853499	-7.867233963658109	0.0010068301953900516	-7.775146493963513	-7.774473591624976	0.000672902338537007	-7.753773848719661	-7.752776943089488	0.0009969056301724066
